"taxon","lfc_(Intercept)","lfc_RFIClass2MidRFI","lfc_RFIClass3HighRFI"
"PWY-7117",0.0745353591521894,-0.193423561009662,0.0815422541873774
"PWY-7118",-0.265451390932653,0.28671331618174,0.342529250886176
"PWY-7159",-0.440534573155593,0.503345790954386,0.526693724938381
"PWY-7199",0.0635046382146928,-0.0319834271494327,-0.147016380464412
"PWY-7208",-0.0395195002120431,0.0445940826963587,0.0440565899680535
"PWY-7209",0.810939243296703,-0.960613604409566,-0.884269498723443
"PWY-7220",0.00838463302034436,-0.0269830641828575,0.0136630456225932
"PWY-7221",0.00507762345403522,-0.00194800278216076,-0.0168912123567144
"PWY-7222",0.00838463302034436,-0.0269830641828575,0.0136630456225932
"PWY-7228",-0.0315962631629523,0.033932483391666,0.0371167753753404
"PWY-7229",-0.018630725728293,0.0181769295308028,0.0230125920056011
"PWY-7234",-0.0273247741918321,-0.0368068273819486,0.13898672040841
"PWY-7237",-0.0152263777461008,-0.0284858133433663,0.0884137334806609
"PWY-7238",0.000528619706952261,-0.000353722798426513,-0.00555059335484279
"PWY-724",0.000367197616394929,-0.00143420153865137,-0.00330046024964275
"PWY-7254",0.0384487020450376,-0.0980278992267414,0.0370396911807837
"PWY-7282",-0.150904285674606,0.0452074871272438,0.384175713246964
"PWY-7286",0.00338930082474508,0.0634628902130781,-0.118013425421778
"PWY-7294",-0.320271055705881,0.376778406498166,0.339996316715919
"PWY-7315",0.002932270654412,-0.0171728116696714,0.0144192450343369
"PWY-7316",0.0227380805877128,-0.0166477769539081,-0.047089229299514
"PWY-7323",-0.0076515621786453,0.0059700984830163,0.0092250040874585
"PWY-7328",-0.0581531534990179,0.0857358241421222,0.0342668233100503
"PWY-7332",0.246683776131241,-0.336054284795122,-0.214202269463407
"PWY-7345",0.0010943974569578,0.0043404939741869,-0.0149113899697293
"PWY-7347",-0.0511791090781178,-0.0413339372306759,0.135063646044391
"PWY-7356",0.00899540913380918,0.00428901082869213,-0.0390245781186619
"PWY-7357",0.0120128230857438,-0.0233411969856075,-0.00336632064822133
"PWY-7371",-0.135932910233593,0.171883554633951,0.132477266260464
"PWY-7373",-0.111516611909845,0.0974334348656969,0.178683797267398
"PWY-7374",-0.123836108886235,0.157003041564513,0.119611645872016
"PWY-7376",-0.234254705480801,0.365796014164903,0.10416450721607
"PWY-7377",-0.0490599391800786,0.0782223160256066,0.0186283051476358
"PWY-7383",0.00808931628954475,-0.0214498530063906,0.00557598494891021
"PWY-7392",-0.0612849470984628,0.0950281189492366,0.02875796214679
"PWY-7399",-0.239858589739171,0.333141976537173,0.188704724153562
"PWY-7400",-0.00415829645347835,0.00866653831479172,-0.00585483692250479
"PWY-7431",-0.0044570206870734,0.0538290870719924,-0.0783291356875696
"PWY-7456",-0.106351840094557,0.144888305650467,0.0857525185578291
"PWY-7480",-0.155305505290246,0.210875345933649,0.128444177759455
